,Feature,Importance
1,feature1,17
19,feature19,5
91,feature91,5
56,feature56,3
5,feature5,3
45,feature45,3
24,feature24,2
76,feature76,2
6,feature6,2
49,feature49,2
11,feature11,2
90,feature90,2
79,feature79,1
80,feature80,1
41,feature41,1
70,feature70,1
36,feature36,1
35,feature35,1
68,feature68,0
69,feature69,0
0,feature0,0
64,feature64,0
67,feature67,0
66,feature66,0
65,feature65,0
72,feature72,0
63,feature63,0
62,feature62,0
61,feature61,0
60,feature60,0
59,feature59,0
58,feature58,0
71,feature71,0
78,feature78,0
73,feature73,0
88,feature88,0
98,feature98,0
97,feature97,0
96,feature96,0
95,feature95,0
94,feature94,0
93,feature93,0
92,feature92,0
89,feature89,0
87,feature87,0
74,feature74,0
86,feature86,0
85,feature85,0
84,feature84,0
83,feature83,0
82,feature82,0
81,feature81,0
77,feature77,0
75,feature75,0
57,feature57,0
50,feature50,0
55,feature55,0
54,feature54,0
25,feature25,0
23,feature23,0
22,feature22,0
21,feature21,0
20,feature20,0
18,feature18,0
17,feature17,0
16,feature16,0
15,feature15,0
14,feature14,0
13,feature13,0
12,feature12,0
10,feature10,0
9,feature9,0
8,feature8,0
7,feature7,0
4,feature4,0
3,feature3,0
2,feature2,0
26,feature26,0
27,feature27,0
28,feature28,0
42,feature42,0
53,feature53,0
52,feature52,0
51,feature51,0
48,feature48,0
47,feature47,0
46,feature46,0
44,feature44,0
43,feature43,0
40,feature40,0
29,feature29,0
39,feature39,0
38,feature38,0
37,feature37,0
34,feature34,0
33,feature33,0
32,feature32,0
31,feature31,0
30,feature30,0
99,feature99,0
