Asset,Magnitude
bin7,0.420369304681417
bin13,0.33586503621629443
bin11,0.31276384949354047
bin15,0.25732029260672273
bin16,0.1805572838599297
bin14,0.1517836474291499
bin4,0.1291127285211026
bin19,0.12174918761895855
bin8,0.07331191540418319
bin0,0.06876269303399606
bin10,0.011813448964384578
bin9,-0.0433616968217631
bin2,-0.05498946900410976
bin1,-0.0829799120401694
bin12,-0.11892863188800319
bin18,-0.138324125583316
bin6,-0.23623655034513102
bin3,-0.24407211497798634
bin5,-0.297148674109959
bin17,-0.44758365405591527
assetindex,
